Time 	DB	Shannon	Concentration
PRE	3	6.410157648	14.832
PRE	3	5.836282442	2.648
PRE	3	5.166614553	0
POST	3	5.746926817	25.161
POST	3	6.356172535	6.522
POST	3	6.40521389	318.942
POST	3	5.891240994	64.888
POST	3	6.011514993	44.555
POST	3	6.368748438	4.883
POST	3	6.11203025	4.66
POST	3	5.944681755	3.458
POST	3	6.057762676	165.686
POST	3	6.606162259	9.954
POST	3	6.413936583	24.627
POST	3	6.622723174	312.996
POST	3	5.630190367	289.434
POST	3	6.455663972	640.29
POST	3	6.571816922	17.738
POST	3	6.299103526	307.274
POST	3	5.599896364	394.625
POST	3	6.340236603	25.026
POST	3	6.070215086	303.645
POST	3	6.56394739	178.169
POST	3	5.933525338	296.538
POST	3	5.351030432	445.888
POST	3	6.429618914	78.589
POST	3	5.873351279	518.401
POST	3	5.822709732	54.242
POST	3	6.229730943	346.957
POST	3	5.548980062	20.774
